Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",6,"\""), and numerical common sense (Lin et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,2,1 * Both authors contributed equally.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,6,"\""), and numerical common sense (Lin et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Do Language Embeddings Capture Scales?,1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Do Language Embeddings Capture Scales?,2,1 * Both authors contributed equally.,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,link
Do Language Embeddings Capture Scales?,2,1 * Both authors contributed equally.,4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Do Language Embeddings Capture Scales?,2,1 * Both authors contributed equally.,5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Do Language Embeddings Capture Scales?,2,1 * Both authors contributed equally.,6,"\""), and numerical common sense (Lin et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Do Language Embeddings Capture Scales?,2,1 * Both authors contributed equally.,7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Do Language Embeddings Capture Scales?,2,1 * Both authors contributed equally.,8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Do Language Embeddings Capture Scales?,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).",4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,link
Do Language Embeddings Capture Scales?,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).",5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Do Language Embeddings Capture Scales?,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).",6,"\""), and numerical common sense (Lin et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Do Language Embeddings Capture Scales?,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).",7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Do Language Embeddings Capture Scales?,3,"† Work done during an internship at Google Research.The success of contextualized pretrained Language Models like BERT (Devlin et al. , 2018) and ELMo (Peters et al. , 2018) on tasks like Question Answering and Natural Language Inference, has led to speculation that they are good at Common Sense Reasoning (CSR).",8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Do Language Embeddings Capture Scales?,4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?",5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Do Language Embeddings Capture Scales?,4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?",6,"\""), and numerical common sense (Lin et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Do Language Embeddings Capture Scales?,4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?",7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Do Language Embeddings Capture Scales?,4,"On one hand, recent work has approached this question by measuring the ability of LMs to answer questions about physical common sense (Bisk et al. , 2020) (`` How to separate egg whites from yolks?",8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Do Language Embeddings Capture Scales?,5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?",6,"\""), and numerical common sense (Lin et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Do Language Embeddings Capture Scales?,5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?",7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Do Language Embeddings Capture Scales?,5,"\""), temporal reasoning (Zhou et al. , 2020) (`` How long does a basketball game take?",8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Do Language Embeddings Capture Scales?,6,"\""), and numerical common sense (Lin et al. , 2020).",7,Figure 1: Scalar probing example.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Do Language Embeddings Capture Scales?,6,"\""), and numerical common sense (Lin et al. , 2020).",8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Do Language Embeddings Capture Scales?,7,Figure 1: Scalar probing example.,8,"Given an object (such as a``wedding ring"") and an attribute with continuous numeric values (such as Mass or Price), can an LM's representation of the object predict the value of that attribute?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,1,"Unfortunately, the number of claims that need to be fact-checked is several orders of magnitude larger than what humans can handle manually.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,2,"Thus, there has been a lot of research aiming at automating the process.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,3,"Interestingly, previous work has largely ignored the growing number of claims about images.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,4,This is despite the fact that visual imagery is more influential than text and naturally appears alongside fake news.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Fact-Checking Meets Fauxtography: Verifying Claims About Images,0,The recent explosion of false claims in social media and on the Web in general has given rise to a lot of manual fact-checking initiatives.,5,"We release our dataset, hoping to enable further research on fact-checking claims about images.As social media become a bigger part of our daily lives, their influence over the way people think and make decisions increases.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
