Worker_name,Assignment,Unit,Role,Message,Message Number
NRT5ANWYUVK5HWE4VY7,63,125,Proponent,What does it mean 'attentive' network?,2
NRT5ANWYUVK5HWE4VY7,63,125,Proponent,What is the attention module used for?,4
NRT5ANWYUVK5HWE4VY7,63,125,Proponent,"Yes, thank you",6
NRT5ANWYUVK5HWE4VY7,63,125,Proponent,"I would like to know more. For example, what type of argument mining did you do in this research?",8
WIKLH0A8DL2D35XF0FV,63,126,Domain Expert,"Hello! This paper is about a novel neural architecture proposed for the task of Argument Mining.
 Facts: 
1. A novel approach to AM, which extends our previous work [7] by introducing an attention module and ensemble learning
2. We explore the use of residual networks and neural attention for argument mining and in particular link prediction.
",1
WIKLH0A8DL2D35XF0FV,63,126,Domain Expert,"it is not explicitly stated, but it means that the network include a neural attention module
 Facts: 
1. The model exploits neural attention
2. this paper extends the neural architecture with attention and ensemble learning
",3
WIKLH0A8DL2D35XF0FV,63,126,Domain Expert,"I'm sorry, such information is not available. Would you like to know more about the argument mining task?",5
WIKLH0A8DL2D35XF0FV,63,126,Domain Expert,"Argument mining is a research field related to NLP, and concerns the extraction and classification of argumentative components and their relationships in documents. Are you satisfied or would you like to know more?
 Facts: 
1. A RGUMENT mining (AM) is an emerging research area in natural language processing (NLP) which aims to extract arguments from text collections [1] .
2. In this work we focus on the challenging problem of assembling the structure of the argumentation graph of a given input document. Such problem comprises the detection of both argument components, and relations (or links) amongst them, and is thus one of the most difficult steps for AM systems.
",7
WIKLH0A8DL2D35XF0FV,63,126,Domain Expert,"We focus on classifying the category of the component and predicting the relationships
 Facts:
1. The model exploits neural attention and multi-task learning, jointly addressing the problems of identifying the category of argument components, and predicting the relations among them",9
WIKLH0A8DL2D35XF0FV,64,127,Proponent,Hello! Can you give me a general overview of what is this paper about?,0
WIKLH0A8DL2D35XF0FV,64,127,Proponent,Interesting! How did they select those images?,2
WIKLH0A8DL2D35XF0FV,64,127,Proponent,How did they annotate those images? using human annotators or in some unsupervised fashion?,4
WIKLH0A8DL2D35XF0FV,64,127,Proponent,Oh interesting! and have the researchers also conducted any experiment on this dataset?,6
WIKLH0A8DL2D35XF0FV,64,127,Proponent,Why is dataset multimodal?,8
WIKLH0A8DL2D35XF0FV,64,127,Proponent,"Thank you, is there any other aspect worth of mention?",10
EBVOMGT2U8GQQZCD462,64,128,Domain Expert,"The paper explais how a novel dataset of images and potentially offensive comments was created.
 Facts: 
1. In this paper, we present a novel dataset composed of images and comments in Italian
",1
EBVOMGT2U8GQQZCD462,64,128,Domain Expert,"The images were taken randomly from Instagram, but cannot be shared as pictures.
 Facts: 
1. The images, instead, are released as a ResNet-18 neural network trained on ImageNet, similar to recent NLP works (Kruk et al., 2019) , since they were taken from Instagram and cannot be shared as pictures.
",3
EBVOMGT2U8GQQZCD462,64,128,Domain Expert,"The comments were made by teenagers during their school hours, then they were manually assigned to a semantic category.
 Facts: 
1. In this paper, we present a novel dataset composed of images and comments in Italian, created with teenagers in classes using a simulated scenario to raise awareness on cyberbullying phenomena.
2. Potentially offensive comments have been collected for more than 1,000 images and manually assigned to a semantic category.
",5
EBVOMGT2U8GQQZCD462,64,128,Domain Expert,"Unfortunately, I connot provide this information, but the dataset is freely available on Github and can be used for research purposes.
 Facts: 
1. The dataset is freely available on Github 2 and, since the comments were collected with the written consent of parents and teachers, they can be freely used for research purposes, without the ethical implications that would derive from using real data posted by teenage users.
",7
EBVOMGT2U8GQQZCD462,64,128,Domain Expert,"The dataset was analysed from different perspectives. For example the analysys could consider the presence of human subjects or the gender of the people.
 Facts: 
1. We therefore present a novel corpus containing images and potentially offensive Italian comments and we analyse it from different perspectives, to investi-gate whether the subject of the images plays a role in triggering a comment.
2. Our analysis shows that the presence of human subjects, as well as the gender of the people present in the pictures trigger different types of comment, and provides novel insight into the connection between images posted on social media and offensive messages.
",9
EBVOMGT2U8GQQZCD462,64,128,Domain Expert,"The corpus was also compared with a similar one obtained using whatsapp. This comparison showed that comments to images have different characteristics.
 Facts: 
1. We also compare our corpus with a similar one obtained with What-sApp, showing that comments to images show different characteristics compared to text-only interactions.
",11
P315HO7Q5S2GLLYN,65,129,Proponent,- Hello there! Can you provide to me some information about the paper? ,0
P315HO7Q5S2GLLYN,65,129,Proponent,With what strategy were the data collected?,2
P315HO7Q5S2GLLYN,65,129,Proponent,How was the data labeled?,4
P315HO7Q5S2GLLYN,65,129,Proponent,"According to the authors, are there any other datasets like this in other languages?",6
P315HO7Q5S2GLLYN,65,129,Proponent,I think such a dataset could be too conditioned/biased by the type of annotator. What do you think about it?,8
P315HO7Q5S2GLLYN,65,129,Proponent,Is the dataset available and free to use?,10
EBVOMGT2U8GQQZCD462,65,130,Domain Expert,"Hi! This paper explains how a dataset composed of images and comments was collected...
 Facts: 
1. In this paper, we present a novel dataset composed of images and comments in Italian, created with teenagers in classes using a simulated scenario to raise awareness on cyberbullying phenomena.
",1
EBVOMGT2U8GQQZCD462,65,130,Domain Expert,"The images were randomly selected from Instagram and the comments were created by teenagers during their school hours.
 Facts: 
1. The images, instead, are released as a ResNet-18 neural network trained on ImageNet, similar to recent NLP works (Kruk et al., 2019) , since they were taken from Instagram and cannot be shared as pictures.
2. The data collection was carried out in several school classes, being part of a 'living lab' to raise awareness on cyberbullying and, more generally, on the use of social media by teenagers.
",3
EBVOMGT2U8GQQZCD462,65,130,Domain Expert,"The comments were maually assigned to a semantic category.
 Facts: 
1. Potentially offensive comments have been collected for more than 1,000 images and manually assigned to a semantic category.
",5
EBVOMGT2U8GQQZCD462,65,130,Domain Expert,"I cannot provide a complete answer, but collecting data from teenage users can be problematic due to privacy restrictions.
 Facts: 
1. However, when it comes to specific target groups, for example teenagers, collecting such data may be problematic due to issues with consent and privacy restrictions.
",7
EBVOMGT2U8GQQZCD462,65,130,Domain Expert,"The aim of the dataset is to collect data specifically among teenagers to raise awareness on cyberbullying, but I think that collecting data while the teens know what they are doing could make them write less mean comments on purpose.
 Facts: 
1. The data collection was carried out in several school classes, being part of a 'living lab' to raise awareness on cyberbullying and, more generally, on the use of social media by teenagers.
",9
EBVOMGT2U8GQQZCD462,65,130,Domain Expert,"Yes, you can find the comments on github. Unfortunately the images cannot be shared as pictures.
 Facts: 
1. The dataset is freely available on Github 2 and, since the comments were collected with the written consent of parents and teachers, they can be freely used for research purposes, without the ethical implications that would derive from using real data posted by teenage users.
2. The images, instead, are released as a ResNet-18 neural network trained on ImageNet, similar to recent NLP works (Kruk et al., 2019) , since they were taken from Instagram and cannot be shared as pictures.
",11
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,Hi! What is this paper about?,0
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,How was this dataset collected?,2
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,What was the purpose of this data collection?,4
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,What are the limits and challenges of such collection?,6
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,How do the authors used or plan to use these data?,8
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,Where can I find this dataset? Is it available?,10
NRT5ANWYUVK5HWE4VY7,66,131,Proponent,What kind of subjects do the images contain?,12
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"The paper explains how a dataset of pictures and possibly offensive comments made by teenagers was collected.
 Facts: 
1. In this paper, we present a novel dataset composed of images and comments in Italian, created with teenagers in classes using a simulated scenario to raise awareness on cyberbullying phenomena.
",1
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"The images were taken from Instagram and the comments were made by teenagers during their school hours.
 Facts: 
1. The data collection was carried out in several school classes, being part of a 'living lab' to raise awareness on cyberbullying and, more generally, on the use of social media by teenagers.
2. The images, instead, are released as a ResNet-18 neural network trained on ImageNet, similar to recent NLP works (Kruk et al., 2019) , since they were taken from Instagram and cannot be shared as pictures.
",3
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"The authors wanted to collect multimodal data from a specific target group.
 Facts: 
1. However, when it comes to specific target groups, for example teenagers, collecting such data may be problematic due to issues with consent and privacy restrictions.
2. Furthermore, while text-only datasets for abusive language detection have been widely developed and used by the NLP community, limitations set by image-based social media platforms like Instagram make it difficult for researchers to experiment with multimodal data.
",5
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"Almos all the issues are related to privacy, collecting data from teenagers means that the authorization of their parents is necessary.
 Facts: 
1. However, when it comes to specific target groups, for example teenagers, collecting such data may be problematic due to issues with consent and privacy restrictions.
",7
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"The authors analysed the data in order to understand if there is a connection between the subject of the image and the comments.
 Facts: 
1.  We therefore present a novel corpus containing images and potentially offensive Italian comments and we analyse it from different perspectives, to investi-gate whether the subject of the images plays a role in triggering a comment.
",9
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"Yes, the comments are freely available on Github but the images cannot be released in their original form because they were taken from Instagram.
 Facts: 
1. The dataset is freely available on Github 2 and, since the comments were collected with the written consent of parents and teachers, they can be freely used for research purposes, without the ethical implications that would derive from using real data posted by teenage users.
2. The images, instead, are released as a ResNet-18 neural network trained on ImageNet, similar to recent NLP works (Kruk et al., 2019) , since they were taken from Instagram and cannot be shared as pictures.
",11
EBVOMGT2U8GQQZCD462,66,132,Domain Expert,"The images can contain any subject, the analysys considers the presence of humans and their genders.
 Facts: 
1. Our analysis shows that the presence of human subjects, as well as the gender of the people present in the pictures trigger different types of comment, and provides novel insight into the connection between images posted on social media and offensive messages.
",13
NA730CWH7DUOZ,80,159,Proponent,Hi!,0
NA730CWH7DUOZ,80,159,Proponent,"Yes, please. How does explaination is provided?",2
NA730CWH7DUOZ,80,159,Proponent,Can you tell me more about the experimental setup?,4
NA730CWH7DUOZ,80,159,Proponent,What should we talk about now?,6
NA730CWH7DUOZ,80,159,Proponent,Do they say something about comparison with other methods?,8
NA730CWH7DUOZ,80,159,Proponent,Which one is the best among the two methods?,10
EBVOMGT2U8GQQZCD462,80,160,Domain Expert,Hi! Is there something you want to know about the article?,1
EBVOMGT2U8GQQZCD462,80,160,Domain Expert,"I unfortunately cannot provide any detail about the explanation, but I can tell you that the algorithm, called LIME, can explain the prediction of any classifier
 Facts: 
1. LIME, an algorithm that can explain the predictions of any classifier or regressor in a faithful way, by approximating it locally with an interpretable model.
",3
EBVOMGT2U8GQQZCD462,80,160,Domain Expert,"The material I have mostly concerns the utility of this tool, I can only tell you that it was tested with human subjects that decided whether to trust a prediction or not based on the explanations provided by the tool.
 Facts: 
1. We show the utility of explanations via novel experiments, both simulated and with human subjects, on various scenarios that require trust: deciding if one should trust a prediction, choosing between models, improving an untrustworthy classifier, and identifying why a classifier should not be trusted
",5
EBVOMGT2U8GQQZCD462,80,160,Domain Expert,"I can tell you more about specific use cases of this tool. For example, it could be very beneficial when it comes to trusting machine learning for mediacal diagnosis.
 Facts: 
1. When using machine learning for medical diagnosis [6] or terrorism detection, for example, predictions cannot be acted upon on blind faith, as the consequences may be catastrophic.
",7
EBVOMGT2U8GQQZCD462,80,160,Domain Expert,"Unfortunately not, they propose two different methods of their own.
 Facts: 
1. • LIME, an algorithm that can explain the predictions of any classifier or regressor in a faithful way, by approximating it locally with an interpretable model. • SP-LIME, a method that selects a set of representative instances with explanations to address the ""trusting the model"" problem, via submodular optimization.
",9
EBVOMGT2U8GQQZCD462,80,160,Domain Expert,"They are different, but I think LIME is the most complete one as it was used by non experts to pick the best out of two classifiers and improve an untrustworthy one.
 Facts: 
1. In our experiments, non-experts using LIME are able to pick which classifier from a pair generalizes better in the real world.
2. Further, they are able to greatly improve an untrustworthy classifier trained on 20 newsgroups, by doing feature engineering using LIME.
",11
7YWIR0MZS3NU43Q32U,81,161,Proponent,What is this article about?,0
7YWIR0MZS3NU43Q32U,81,161,Proponent,Is the approach validated with experiments involving human users?,2
7YWIR0MZS3NU43Q32U,81,161,Proponent,How many datasets are used for validation?,4
7YWIR0MZS3NU43Q32U,81,161,Proponent,What style of interpretable model is used to explain the predictions?,6
7YWIR0MZS3NU43Q32U,81,161,Proponent,"Does the article give a formal definition of ""interpretable"" and ""faithful""?",8
7YWIR0MZS3NU43Q32U,81,161,Proponent,Is the approach applied to natural language tasks?,10
EBVOMGT2U8GQQZCD462,81,162,Domain Expert,"The article explains why understanding the reasons behind a prediction made by a machine learning model can make a difference in its actual use and proposes a new explanation technique.
 Facts: 
1. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model.
2. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction.
",1
EBVOMGT2U8GQQZCD462,81,162,Domain Expert,"Yes, using LIME, non experts were able to choose the best one between different classifiers and to improve an untrustworthy one.
 Facts: 
1. In our experiments, non-experts using LIME are able to pick which classifier from a pair generalizes better in the real world.
2. Further, they are able to greatly improve an untrustworthy classifier trained on 20 newsgroups, by doing feature engineering using LIME.
",3
EBVOMGT2U8GQQZCD462,81,162,Domain Expert,"Unfortunately I cannot provide this information, but LIME can be used to explain the prediction of any classifier or regressor.
 Facts: 
1. LIME, an algorithm that can explain the predictions of any classifier or regressor in a faithful way, by approximating it locally with an interpretable model.
",5
EBVOMGT2U8GQQZCD462,81,162,Domain Expert,"I can only tell you that LIME provides this information in an interpretable and faithful manner by learning an interpretable model locally around the prediction.
 Facts: 
1. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction.
",7
EBVOMGT2U8GQQZCD462,81,162,Domain Expert,Unfortunately not in the material at my disposal.,9
EBVOMGT2U8GQQZCD462,81,162,Domain Expert,"LIME was used to improve an untrustworthy classifier trained on newsgroups.
 Facts:
1. Further, they are able to greatly improve an untrustworthy classifier trained on 20 newsgroups, by doing feature engineering using LIME.",11
2MGUXRMB0OCLW,82,163,Proponent,"Hello, what is this paper about?",0
2MGUXRMB0OCLW,82,163,Proponent,I think this is really a very important issue in AI. How does the proposed technique work? Do you extract logic rules?,2
2MGUXRMB0OCLW,82,163,Proponent,On which tasks did you apply LIME?,4
2MGUXRMB0OCLW,82,163,Proponent,"Thank you, this is very interesting indeed. Which do you think is the strongest point of your approach?",6
2MGUXRMB0OCLW,82,163,Proponent,Did you measure performance of the interpretable patterns extracted by LIME?,8
2MGUXRMB0OCLW,82,163,Proponent,"Thank you, this is all I wanted to know!",10
EBVOMGT2U8GQQZCD462,82,164,Domain Expert,"Hi! The paper explains why, in some cases, it is crucial to understand why a machine learning model made a prediction and proposes a new explanation technique.
 Facts: 
1. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model.
2. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction.
",1
EBVOMGT2U8GQQZCD462,82,164,Domain Expert,"Unfortunately I cannot provide detailed information, LIME approximates the predictions of any classifier or regressor by approximating it locally with an interpretable model.
 Facts: 
1. LIME, an algorithm that can explain the predictions of any classifier or regressor in a faithful way, by approximating it locally with an interpretable model.
",3
EBVOMGT2U8GQQZCD462,82,164,Domain Expert,"Lime was used by non-experts to pick the best one between two classifiers, to improve an untrustworthy one and for the understanding of the predictions of a neural network on images.
 Facts: 
1. In our experiments, non-experts using LIME are able to pick which classifier from a pair generalizes better in the real world. Further, they are able to greatly improve an untrustworthy classifier trained on 20 newsgroups, by doing feature engineering using LIME.
2. We also show how understanding the predictions of a neural network on images helps practitioners know when and why they should not trust a model.
",5
EBVOMGT2U8GQQZCD462,82,164,Domain Expert,"I think that knowing the reasons behind a prediction could make people trust machine learning systems more, mostly in fields such as the medical one.
 Facts: 
1. When using machine learning for medical diagnosis [6] or terrorism detection, for example, predictions cannot be acted upon on blind faith, as the consequences may be catastrophic.
",7
EBVOMGT2U8GQQZCD462,82,164,Domain Expert,"Unfortunately this information is not in the material at my disposal. But LIME was evaluated with simulated and human subjects.
 Facts: 
1. Comprehensive evaluation with simulated and human subjects, where we measure the impact of explanations on trust and associated tasks.
",9
EBVOMGT2U8GQQZCD462,82,164,Domain Expert,Thank you for your interest! Do you think that a tool like LIME could be helpful in other situations?,11
NA730CWH7DUOZ,83,165,Proponent,Hi!,0
NA730CWH7DUOZ,83,165,Proponent,"Yes, please. What is the paper about?",2
NA730CWH7DUOZ,83,165,Proponent,Can you say something more about the method used to solve the tasks?,4
NA730CWH7DUOZ,83,165,Proponent,Is the method compared to other ones?,6
NA730CWH7DUOZ,83,165,Proponent,Are the results better than state-of-the-art cited in the paper?,8
7YWIR0MZS3NU43Q32U,83,166,Domain Expert,"Hi! do you want to talk about multi-task residual networks for argument mining?
 Facts: 
1. Multi-Task Attentive Residual Networks for Argument Mining
",1
7YWIR0MZS3NU43Q32U,83,166,Domain Expert,"The paper discusses residual network for several argumentative mining tasks, including link prediction
 Facts: 
1. We explore the use of residual networks and neural attention for argument mining and in particular link prediction.
2. We propose a residual architecture that exploits attention, multi-task learning, and makes use of ensemble.
",3
7YWIR0MZS3NU43Q32U,83,166,Domain Expert,"Sure. All tasks are tackled using a single neural network with an attention module and ensemble learning. All tasks are performed jointly. there is no feature engineering.
 Facts: 
1. this paper extends the neural architecture with attention and ensemble learning
2. Such a model performs multiple AM tasks at the same time, and does not rely on ad-hoc features or rich contextual information, but only on GloVe embeddings and on a widely applicable notion of distance
",5
7YWIR0MZS3NU43Q32U,83,166,Domain Expert,"Sure, the paper offers comparisons with other state-of-the-art systems.
 Facts: 
1. this paper extends the neural architecture with attention and ensemble learning, and presents a more thorough and extensive experimental evaluation, offering comparisons with state-of-the-art systems across four different argument mining corpora
",7
7YWIR0MZS3NU43Q32U,83,166,Domain Expert,"This is not clear from the information I have. The method has good performance, but the main advantage seems to be generality.
 Facts: 
1. Experimental results conducted on a variety of different corpora show that the model is robust and achieves good performance across the considered data sets.
2. AM approaches are very often tailored to specific corpora or genres [4] - [6] , with solutions that are seldom general enough to be directly applied to different data sets without the need of any adaptation.
",9
NA730CWH7DUOZ,84,167,Proponent,Hi!,0
NA730CWH7DUOZ,84,167,Proponent,"Yes, please. What are memory networks?",2
NA730CWH7DUOZ,84,167,Proponent,How are MANNs employed to detect and explain unfairness?,4
NA730CWH7DUOZ,84,167,Proponent,It seems very nice idea! Maybe it can be applied to other kind of tasks. What do you think?,6
NA730CWH7DUOZ,84,167,Proponent,Can you give me more details about the experimental setup?,8
NA730CWH7DUOZ,84,167,Proponent,"Yes, please.",10
NA730CWH7DUOZ,84,167,Proponent,"Yes, I am really interested in it.",12
NA730CWH7DUOZ,84,167,Proponent,I think it's enough. Thanks a lot!,14
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"Hi. Do you want to know something about unfairness detection in consumer contracts?
 Facts: 
1. Detecting and explaining unfairness in consumer contracts through memory networks
",1
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"Memory networks or MANNs are neural architectures that include a ""memory"" components where knowledge can be stored and used to generate the output
 Facts: 
1. The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.
2. A MANN can answer these questions by storing in dedicated parts of the network, called memories, all previously seen sentences, so as to retrieve the most relevant facts to a given query.
",3
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"The memories could be used to store justifications of unfairness given by legal experts. Then these justifications can be used to explain the output
 Facts: 
1. our hypothesis is that useful explanations may be given in terms of rationales, i.e.  ad-hoc justifications provided by legal experts motivating their conclusion to consider a given clause as unfair.
2. if we train a MANN classifier to identify unfair clauses by using as facts the rationales behind unfairness labels, then a possible explanation of an unfairness prediction could be constructed based on the list of memories, i.e., the rationales, used by the MANN
",5
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"Yes indeed. For example, memory networks have been used for question-answering.
 Facts: 
1. Consider for instance the following story:   Joe went to the kitchen.  Fred went to the kitchen. Joe picked up the milk. Joe travelled to the office. Joe left the milk.
2. Joe went to the bathroom. Where is the milk now? Answering the question requires comprehension of the actions ""picked up"" and ""left"" as well as of the time elements of the story (Weston et al. 2014) .  A MANN can answer these questions
",7
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"The authors created a dataset of annotated Terms of Service and compared the performance of MANNs against relevant baselines. Do you want to know about qualitative evaluation too?
 Facts: 
1. The knowledge base of rationales constituted the basis for creating a corpus of 100 annotated ToS, which we used to train different MANN architecture configurations.
2. We evaluated their performance with respect to relevant baselines, including support vector machine classifiers, convolutional neural networks and long shortmemory networks.
",9
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"The explanations were also evaluated by domain experts. If you are interested, I can tell you about the outcome of the evaluation
 Facts: 
1. We also run an initial qualitative evaluation with domain experts in order to understand the explanatory efficacy of rationales in this context.
",11
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,"Results are encouraging, and some baselines were outperformed by a significant margin. One interesting thing in this paper is the application of strong supervision. Do you want to know about it?
 Facts: 
1. The results on the new corpus are encouraging. The MANN architectures were able to match or outperform the baselines on all categories of unfair clauses, in some cases by a significant margin.
2. unlike all other baselines, the MANN could provide meaningful references to the relevant rationales
",13
7YWIR0MZS3NU43Q32U,84,168,Domain Expert,Bye,15
NRT5ANWYUVK5HWE4VY7,85,169,Proponent,Hi! What is this article about?,0
NRT5ANWYUVK5HWE4VY7,85,169,Proponent,How were memory networks used for this task?,2
NRT5ANWYUVK5HWE4VY7,85,169,Proponent,"Yes, thank you",4
NRT5ANWYUVK5HWE4VY7,85,169,Proponent,Why are rationales useful?,6
